country,year,age,sex,cases
AD,1996,15-24,f,1
AD,1996,15-24,m,0
AD,1996,25-34,f,1
AD,1996,25-34,m,0
AD,1996,35-44,f,0
AD,1996,35-44,m,4
AD,1996,45-54,f,0
AD,1996,45-54,m,1
AD,1996,55-64,f,1
AD,1996,55-64,m,0
AD,1996,65+,f,0
AD,1996,65+,m,0
AD,1996,,f,0
AD,1996,,m,0
AD,1997,15-24,f,1
AD,1997,15-24,m,0
AD,1997,25-34,f,2
AD,1997,25-34,m,1
AD,1997,35-44,f,3
AD,1997,35-44,m,2
AD,1997,45-54,f,0
AD,1997,45-54,m,2
AD,1997,55-64,f,0
AD,1997,55-64,m,1
AD,1997,65+,f,1
AD,1997,65+,m,6
AD,1997,,f,0
AD,1997,,m,0
AD,1998,15-24,m,0
AD,1998,25-34,m,0
AD,1998,35-44,m,1
AD,1998,45-54,m,0
AD,1998,55-64,m,0
AD,1998,65+,m,0
AD,1998,,m,0
AD,1999,15-24,f,0
AD,1999,15-24,m,0
AD,1999,25-34,f,0
AD,1999,25-34,m,0
AD,1999,35-44,f,1
AD,1999,35-44,m,1
AD,1999,45-54,f,0
AD,1999,45-54,m,1
AD,1999,55-64,f,0
AD,1999,55-64,m,0
AD,1999,65+,f,0
AD,1999,65+,m,0
AD,1999,,f,0
AD,1999,,m,0
AD,2000,15-24,m,0
AD,2000,25-34,m,1
AD,2000,35-44,m,0
AD,2000,45-54,m,0
AD,2000,55-64,m,0
AD,2000,65+,m,0
AD,2000,,m,0
AD,2001,35-44,m,2
AD,2001,45-54,m,1
AD,2001,,m,0
AD,2002,15-24,f,1
AD,2002,15-24,m,0
AD,2002,25-34,f,0
AD,2002,25-34,m,0
AD,2002,35-44,f,0
AD,2002,35-44,m,1
AD,2002,45-54,f,0
AD,2002,45-54,m,0
AD,2002,55-64,f,0
AD,2002,55-64,m,0
AD,2002,65+,f,0
AD,2002,65+,m,0
AD,2002,,f,0
AD,2002,,m,0
AD,2003,15-24,f,1
AD,2003,15-24,m,0
AD,2003,25-34,f,1
AD,2003,25-34,m,0
AD,2003,35-44,f,1
AD,2003,35-44,m,1
AD,2003,45-54,f,0
AD,2003,45-54,m,2
AD,2003,55-64,f,0
AD,2003,55-64,m,0
AD,2003,65+,f,0
AD,2003,65+,m,0
AD,2003,,f,0
AD,2003,,m,0
AD,2004,15-24,f,0
AD,2004,15-24,m,0
AD,2004,25-34,f,1
AD,2004,25-34,m,0
AD,2004,35-44,f,0
AD,2004,35-44,m,1
AD,2004,45-54,f,0
AD,2004,45-54,m,1
AD,2004,55-64,f,0
AD,2004,55-64,m,0
AD,2004,65+,f,0
AD,2004,65+,m,0
AD,2004,,f,0
AD,2004,,m,0
AD,2005,0-4,f,0
AD,2005,0-4,m,0
AD,2005,15-24,f,1
AD,2005,15-24,m,0
AD,2005,25-34,f,1
AD,2005,25-34,m,1
AD,2005,35-44,f,1
AD,2005,35-44,m,1
AD,2005,45-54,f,0
AD,2005,45-54,m,0
AD,2005,May-14,f,0
AD,2005,May-14,m,0
AD,2005,55-64,f,0
